token,effectiveness_score,quality_score,consistency_score,specificity_score,layer_count,concept,layer_-17_score,layer_-17_rank,layer_-18_score,layer_-18_rank,layer_-19_score,layer_-19_rank,layer_-15_score,layer_-15_rank,layer_-16_score,layer_-16_rank,layer_-20_score,layer_-20_rank,layer_-21_score,layer_-21_rank,layer_-1_score,layer_-1_rank,layer_-2_score,layer_-2_rank,layer_-3_score,layer_-3_rank,layer_-4_score,layer_-4_rank,layer_-13_score,layer_-13_rank,layer_-14_score,layer_-14_rank,layer_-7_score,layer_-7_rank,layer_-8_score,layer_-8_rank,layer_-24_score,layer_-24_rank,layer_-22_score,layer_-22_rank,layer_-23_score,layer_-23_rank,layer_-25_score,layer_-25_rank,layer_-5_score,layer_-5_rank,layer_-27_score,layer_-27_rank,layer_-28_score,layer_-28_rank,layer_-12_score,layer_-12_rank
invitation,0.7104301452636719,1.2,0.0012290417,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03810029476881027,40.0,,,,,,,,,,,,,,
witches,0.70700890398493,1.2,0.0026584612,0.9803921568627452,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0411381721496582,14.0,0.04127413034439087,18.0,,,,,,,,,,
Burgess,0.703303789633971,1.2,0.002845924,0.9615384615384616,2,unknown_concept,0.0401046983897686,15.0,0.048118956387043,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Checking,0.7023836869372135,1.2,0.0028460457,0.9569377990430623,3,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041175730526447296,13.0,0.04705169051885605,4.0,,,,,,,,,,
cauliflower,0.6811388874307592,1.2,0.0026460013,0.851063829787234,2,unknown_concept,0.0394136905670166,21.0,,,0.04261235147714615,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attacked,0.6542383746647921,1.2,0.0024833449,0.7168458781362006,2,unknown_concept,,,,,,,,,,,,,0.03867168352007866,45.0,,,,,,,,,,,,,,,,,,,0.03831200674176216,46.0,,,,,,,,,,,,
MAG,0.6515233516693115,1.0,0.004352513,1.0,3,unknown_concept,,,,,,,0.04302753135561943,6.0,,,,,,,,,,,,,,,,,0.04409025236964226,4.0,,,,,0.04781012237071991,3.0,,,,,,,,,,,,,,
contracted,0.6442675908406575,1.2,0.002669279,0.6666666666666667,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0426645502448082,10.0,,,,,0.04008309915661812,18.0,,,,,,,,
vaping,0.6295731395969835,1.2,0.005968856,0.5874200614740681,4,unknown_concept,,,,,0.049503929913043976,4.0,,,,,0.046069659292697906,2.0,0.0491633266210556,1.0,,,,,,,,,,,,,,,,,,,,,0.04029761999845505,23.0,,,,,,,,,,
Birmingham,0.6270020711246703,1.2,0.007189773,0.5724281906205286,5,unknown_concept,,,0.04481774941086769,17.0,0.04438680410385132,12.0,,,,,0.04574071615934372,3.0,0.047647807747125626,3.0,,,,,,,,,,,,,,,,,,,0.04028988629579544,18.0,,,,,,,,,,,,
BoxDecoration,0.6267678954463074,1.2,0.0023595456,0.5797101449275363,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,0.036045998334884644,35.0,,,,,,,,,,,,,,,,,0.03709991276264191,32.0,,,,,,
coordinator,0.6204081424295086,1.2,0.0023402865,0.547945205479452,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03576270863413811,34.0,0.03678617626428604,37.0,,,,,,,,,,,,,,,,
.travel,0.6176450316111247,1.2,0.0027952706,0.5333333333333333,2,unknown_concept,,,,,,,,,,,0.04201153665781021,18.0,0.044641852378845215,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,0.6089732347750196,1.2,0.0026685682,0.4901960784313726,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039984866976737976,21.0,0.04274074360728264,11.0,,,,,,,,,,
bean,0.6041103055566063,1.2,0.0024862539,0.46620046620046623,2,unknown_concept,,,,,,,,,,,,,,,,,0.03793373703956604,23.0,0.039140135049819946,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
viên,0.6029400825500488,0.84,0.0026858838,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04264608025550842,9.0,0.040616314858198166,13.0,,
sewage,0.5988522164769225,1.2,0.0026860712,0.4395604395604396,2,unknown_concept,,,,,,,0.042112912982702255,11.0,,,,,,,,,,,,,,,,,0.04115530103445053,22.0,,,,,,,,,,,,,,,,,,,,
Moran,0.5956435831508075,1.2,0.0056698094,0.4182956080243163,4,unknown_concept,,,,,,,,,0.050895895808935165,1.0,,,,,,,,,,,,,0.04301607608795166,6.0,0.03999212384223938,26.0,,,,,,,,,,,,,,,,,,,0.041860003024339676,9.0
Variables,0.595179324714761,1.2,0.0027679852,0.42105263157894735,2,unknown_concept,,,,,,,,,,,,,0.041348934173583984,20.0,,,,,,,,,,,,,,,,,,,0.04445861652493477,3.0,,,,,,,,,,,,
upert,0.5937293394875576,1.2,0.0026102767,0.41407867494824013,2,unknown_concept,,,,,,,0.03944094851613045,36.0,0.04147763550281525,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
